id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id,implied_odds,p(over),p(under),edge,suggested_kelly
71f8174c403d127132eba38c4bc783eb,player_threes,James Harden,PHI,MEM,draftkings,Over,-130,2.5,201935,0.5652173913043478,0.5821,0.4179,0.016882608695652168,0.03883000000000005
71f8174c403d127132eba38c4bc783eb,player_threes,James Harden,PHI,MEM,draftkings,Under,100,2.5,201935,0.5,0.5821,0.4179,-0.0821,0.0
71f8174c403d127132eba38c4bc783eb,player_threes,Jaren Jackson Jr.,MEM,PHI,draftkings,Over,125,1.5,1628991,0.4444444444444444,0.439,0.561,-0.0054444444444444184,0.0
71f8174c403d127132eba38c4bc783eb,player_threes,Jaren Jackson Jr.,MEM,PHI,draftkings,Under,-155,1.5,1628991,0.6078431372549019,0.439,0.561,-0.04684313725490186,0.0
71f8174c403d127132eba38c4bc783eb,player_threes,Joel Embiid,PHI,MEM,draftkings,Over,180,1.5,203954,0.3571428571428571,0.223,0.777,-0.1341428571428571,0.0
71f8174c403d127132eba38c4bc783eb,player_threes,Joel Embiid,PHI,MEM,draftkings,Under,-220,1.5,203954,0.6875,0.223,0.777,0.08950000000000002,0.28640000000000004
71f8174c403d127132eba38c4bc783eb,player_threes,Tobias Harris,PHI,MEM,draftkings,Over,110,1.5,202699,0.47619047619047616,0.7073,0.2927,0.23110952380952388,0.44120909090909094
71f8174c403d127132eba38c4bc783eb,player_threes,Tobias Harris,PHI,MEM,draftkings,Under,-140,1.5,202699,0.5833333333333334,0.7073,0.2927,-0.29063333333333335,0.0
8ae0919dea2703e5ec303e83858bbd91,player_threes,Brandon Ingram,NOP,TOR,draftkings,Over,100,1.5,1627742,0.5,0.5213,0.4787,0.021299999999999986,0.04259999999999997
8ae0919dea2703e5ec303e83858bbd91,player_threes,Brandon Ingram,NOP,TOR,draftkings,Under,-130,1.5,1627742,0.5652173913043478,0.5213,0.4787,-0.08651739130434777,0.0
8ae0919dea2703e5ec303e83858bbd91,player_threes,CJ McCollum,NOP,TOR,draftkings,Over,100,2.5,203468,0.5,0.6158,0.3842,0.11580000000000001,0.23160000000000003
8ae0919dea2703e5ec303e83858bbd91,player_threes,CJ McCollum,NOP,TOR,draftkings,Under,-130,2.5,203468,0.5652173913043478,0.6158,0.3842,-0.1810173913043478,0.0
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Jalen Williams,OKC,UTA,draftkings,Over,-190,0.5,1631114,0.6551724137931034,0.7647,0.2353,0.10952758620689662,0.31763000000000013
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Jalen Williams,OKC,UTA,draftkings,Under,155,0.5,1631114,0.3921568627450981,0.7647,0.2353,-0.15685686274509808,0.0
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Josh Giddey,OKC,UTA,draftkings,Over,-165,0.5,1630581,0.6226415094339622,0.8144,0.1856,0.19175849056603778,0.5081600000000001
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Josh Giddey,OKC,UTA,draftkings,Under,135,0.5,1630581,0.42553191489361697,0.8144,0.1856,-0.23993191489361698,0.0
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Lauri Markkanen,UTA,OKC,draftkings,Over,135,3.5,1628374,0.42553191489361697,0.3201,0.6799,-0.10543191489361697,0.0
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Lauri Markkanen,UTA,OKC,draftkings,Under,-165,3.5,1628374,0.6226415094339622,0.3201,0.6799,0.05725849056603771,0.1517350000000001
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Shai Gilgeous-Alexander,OKC,UTA,draftkings,Over,-150,0.5,1628983,0.6,0.7593,0.2407,0.1593,0.39825000000000005
85b83bf4616b8f0d8b90d4e7c53ca165,player_threes,Shai Gilgeous-Alexander,OKC,UTA,draftkings,Under,120,0.5,1628983,0.4545454545454546,0.7593,0.2407,-0.2138454545454546,0.0
24872354d6b4355ddafaba1cd4af961a,player_threes,Andrew Wiggins,GSW,LAL,draftkings,Over,-175,1.5,203952,0.6363636363636364,0.8535,0.1465,0.21713636363636368,0.597125
24872354d6b4355ddafaba1cd4af961a,player_threes,Andrew Wiggins,GSW,LAL,draftkings,Under,140,1.5,203952,0.41666666666666663,0.8535,0.1465,-0.27016666666666667,0.0
24872354d6b4355ddafaba1cd4af961a,player_threes,Draymond Green,GSW,LAL,draftkings,Over,100,0.5,203110,0.5,0.6479,0.3521,0.14790000000000003,0.2958
24872354d6b4355ddafaba1cd4af961a,player_threes,Draymond Green,GSW,LAL,draftkings,Under,-130,0.5,203110,0.5652173913043478,0.6479,0.3521,-0.21311739130434776,0.0
24872354d6b4355ddafaba1cd4af961a,player_threes,Jordan Poole,GSW,LAL,draftkings,Over,120,3.5,1629673,0.4545454545454546,0.1818,0.8182,-0.2727454545454546,0.0
24872354d6b4355ddafaba1cd4af961a,player_threes,Jordan Poole,GSW,LAL,draftkings,Under,-150,3.5,1629673,0.6,0.1818,0.8182,0.21820000000000006,0.5455000000000001
24872354d6b4355ddafaba1cd4af961a,player_threes,Klay Thompson,GSW,LAL,draftkings,Over,-105,4.5,202691,0.5121951219512195,0.3721,0.6279,-0.14009512195121954,0.0
