id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id,implied_odds,p(over),p(under),edge,ev,suggested_kelly
63308e00869e2009bc6597edbdaf0c99,player_threes,Cameron Johnson,BKN,ATL,draftkings,Over,125,2.5,1629661.0,0.4444444444444444,0.364,0.636,-0.08044444444444443,-0.18099999999999994,0.0
63308e00869e2009bc6597edbdaf0c99,player_threes,De'Andre Hunter,ATL,BKN,betonlineag,Under,-154,1.5,1629631.0,0.6062992125984252,0.5044,0.4956,-0.11069921259842525,-0.1825818181818183,0.0
63308e00869e2009bc6597edbdaf0c99,player_threes,Cameron Johnson,BKN,ATL,betonlineag,Over,124,2.5,1629661.0,0.4464285714285714,0.364,0.636,-0.0824285714285714,-0.18463999999999992,0.0
63308e00869e2009bc6597edbdaf0c99,player_threes,Trae Young,ATL,BKN,williamhill_us,Over,112,2.5,1629027.0,0.4716981132075472,0.3843,0.6157,-0.0873981132075472,-0.18528400000000012,0.0
f2aa3876acabca48a66ea6eae3d9f1b9,player_threes,Jrue Holiday,MIL,PHX,williamhill_us,Over,-115,2.5,201950.0,0.5348837209302325,0.434,0.566,-0.10088372093023251,-0.18860869565217386,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Bradley Beal,WAS,CHI,draftkings,Over,-180,1.5,203078.0,0.6428571428571429,0.5214,0.4786,-0.12145714285714293,-0.1889333333333334,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Monte Morris,WAS,CHI,draftkings,Over,115,1.5,1628420.0,0.4651162790697675,0.3771,0.6229,-0.0880162790697675,-0.18923500000000015,0.0
817d002c1921e4335f3bbd78ad371c61,player_threes,Kevin Huerter,SAC,OKC,draftkings,Under,-165,2.5,1628989.0,0.6226415094339622,0.497,0.503,-0.11964150943396223,-0.19215151515151507,0.0
80d27fa88ccd30a960caacce5dfac049,player_threes,Jaden McDaniels,MIN,GSW,betmgm,Over,120,1.5,1630183.0,0.4545454545454546,0.3659,0.6341,-0.08864545454545458,-0.19502000000000008,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Bradley Beal,WAS,CHI,williamhill_us,Over,-184,1.5,203078.0,0.647887323943662,0.5214,0.4786,-0.12648732394366202,-0.19523043478260882,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Monte Morris,WAS,CHI,betonlineag,Over,112,1.5,1628420.0,0.4716981132075472,0.3771,0.6229,-0.09459811320754719,-0.20054800000000006,0.0
80d27fa88ccd30a960caacce5dfac049,player_threes,Jaden McDaniels,MIN,GSW,betonlineag,Over,118,1.5,1630183.0,0.45871559633027525,0.3659,0.6341,-0.09281559633027525,-0.20233800000000002,0.0
63308e00869e2009bc6597edbdaf0c99,player_threes,Cameron Johnson,BKN,ATL,williamhill_us,Over,118,2.5,1629661.0,0.45871559633027525,0.364,0.636,-0.09471559633027526,-0.2064800000000001,0.0
817d002c1921e4335f3bbd78ad371c61,player_threes,Kevin Huerter,SAC,OKC,williamhill_us,Under,-174,2.5,1628989.0,0.635036496350365,0.497,0.503,-0.13203649635036496,-0.207919540229885,0.0
8d78600b0a7ab6a7f15c5f935cbace68,player_threes,Donovan Mitchell,CLE,TOR,fanduel,Under,-174,3.5,1628378.0,0.635036496350365,0.4972,0.5028,-0.13223649635036494,-0.20823448275862066,0.0
80d27fa88ccd30a960caacce5dfac049,player_threes,Jaden McDaniels,MIN,GSW,williamhill_us,Over,116,1.5,1630183.0,0.4629629629629629,0.3659,0.6341,-0.0970629629629629,-0.20965599999999995,0.0
8d78600b0a7ab6a7f15c5f935cbace68,player_threes,Donovan Mitchell,CLE,TOR,betonlineag,Under,-175,3.5,1628378.0,0.6363636363636364,0.4972,0.5028,-0.13356363636363633,-0.20988571428571423,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Monte Morris,WAS,CHI,fanduel,Over,108,1.5,1628420.0,0.4807692307692307,0.3771,0.6229,-0.10366923076923074,-0.21563199999999993,0.0
63308e00869e2009bc6597edbdaf0c99,player_threes,De'Andre Hunter,ATL,BKN,fanduel,Under,-172,1.5,1629631.0,0.6323529411764706,0.5044,0.4956,-0.13675294117647058,-0.21626046511627905,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Kyle Kuzma,WAS,CHI,draftkings,Over,-145,2.5,1628398.0,0.5918367346938775,0.4596,0.5404,-0.13223673469387753,-0.22343448275862066,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Kyle Kuzma,WAS,CHI,williamhill_us,Over,-148,2.5,1628398.0,0.5967741935483871,0.4596,0.5404,-0.1371741935483871,-0.22985945945945951,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Monte Morris,WAS,CHI,williamhill_us,Over,104,1.5,1628420.0,0.4901960784313726,0.3771,0.6229,-0.1130960784313726,-0.23071600000000003,0.0
e6b22267452d3dd4d99fa62ff71f7fcc,player_threes,Josh Green,DAL,LAL,draftkings,Over,125,1.5,1630182.0,0.4444444444444444,0.3405,0.6595,-0.1039444444444444,-0.23387499999999994,0.0
63308e00869e2009bc6597edbdaf0c99,player_threes,Dejounte Murray,ATL,BKN,fanduel,Under,-102,1.5,1627749.0,0.504950495049505,0.6182,0.3818,-0.12315049504950498,-0.24388627450980394,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Kyle Kuzma,WAS,CHI,betonlineag,Over,-156,2.5,1628398.0,0.609375,0.4596,0.5404,-0.149775,-0.24578461538461538,0.0
96e9ac4414cf1fb0ef4164d710c420c8,player_threes,Kyle Kuzma,WAS,CHI,fanduel,Over,-156,2.5,1628398.0,0.609375,0.4596,0.5404,-0.149775,-0.24578461538461538,0.0
80d27fa88ccd30a960caacce5dfac049,player_threes,Kyle Anderson,MIN,GSW,betonlineag,Under,-130,0.5,203937.0,0.5652173913043478,0.5743,0.4257,-0.13951739130434776,-0.24683846153846145,0.0
80d27fa88ccd30a960caacce5dfac049,player_threes,Kyle Anderson,MIN,GSW,draftkings,Under,-130,0.5,203937.0,0.5652173913043478,0.5743,0.4257,-0.13951739130434776,-0.24683846153846145,0.0
e6b22267452d3dd4d99fa62ff71f7fcc,player_threes,Malik Beasley,LAL,DAL,fanduel,Under,140,2.5,1627736.0,0.41666666666666663,0.6872,0.3128,-0.10386666666666661,-0.24927999999999984,0.0
e6b22267452d3dd4d99fa62ff71f7fcc,player_threes,Josh Green,DAL,LAL,betmgm,Over,120,1.5,1630182.0,0.4545454545454546,0.3405,0.6595,-0.11404545454545456,-0.2509,0.0
80d27fa88ccd30a960caacce5dfac049,player_threes,Kyle Anderson,MIN,GSW,williamhill_us,Under,-133,0.5,203937.0,0.5708154506437768,0.5743,0.4257,-0.1451154506437768,-0.2542248120300752,0.0
c95982844161e998ab02c1eab506902d,player_threes,Damian Lillard,POR,HOU,fanduel,Over,-130,4.5,203081.0,0.5652173913043478,0.4214,0.5786,-0.14381739130434779,-0.25444615384615377,0.0
80d27fa88ccd30a960caacce5dfac049,player_threes,Kyle Anderson,MIN,GSW,betmgm,Under,-135,0.5,203937.0,0.574468085106383,0.5743,0.4257,-0.148768085106383,-0.2589666666666667,0.0
c95982844161e998ab02c1eab506902d,player_threes,Damian Lillard,POR,HOU,betonlineag,Over,-133,4.5,203081.0,0.5708154506437768,0.4214,0.5786,-0.14941545064377681,-0.2617578947368421,0.0
