id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id,implied_odds,p(over),p(under),edge,suggested_kelly
416a6448fcdb7c657adaf06d2660af34,player_threes,Myles Turner,IND,BOS,fanduel,Over,140,1.5,1626167,0.41666666666666663,0.4515,0.5485,0.03483333333333338,0.059714285714285865
416a6448fcdb7c657adaf06d2660af34,player_threes,Myles Turner,IND,BOS,fanduel,Under,-180,1.5,1626167,0.6428571428571429,0.4515,0.5485,-0.09435714285714292,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Buddy Hield,IND,BOS,fanduel,Over,-104,3.5,1627741,0.5098039215686274,0.5201,0.4799,0.01029607843137259,0.02100400000000007
416a6448fcdb7c657adaf06d2660af34,player_threes,Buddy Hield,IND,BOS,fanduel,Under,-122,3.5,1627741,0.5495495495495496,0.5201,0.4799,-0.0696495495495496,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Aaron Nesmith,IND,BOS,fanduel,Over,102,1.5,1630174,0.49504950495049505,0.4326,0.5674,-0.06244950495049506,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Aaron Nesmith,IND,BOS,fanduel,Under,-130,1.5,1630174,0.5652173913043478,0.4326,0.5674,0.002182608695652233,0.005020000000000156
416a6448fcdb7c657adaf06d2660af34,player_threes,Jayson Tatum,BOS,IND,fanduel,Over,120,3.5,1628369,0.4545454545454546,0.4501,0.5499,-0.004445454545454586,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jayson Tatum,BOS,IND,fanduel,Under,-154,3.5,1628369,0.6062992125984252,0.4501,0.5499,-0.056399212598425175,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jaylen Brown,BOS,IND,fanduel,Over,100,2.5,1627759,0.5,0.4698,0.5302,-0.030200000000000005,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jaylen Brown,BOS,IND,fanduel,Under,-128,2.5,1627759,0.5614035087719298,0.4698,0.5302,-0.03120350877192979,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Tyrese Haliburton,IND,BOS,fanduel,Over,116,2.5,1630169,0.4629629629629629,0.5229,0.4771,0.05993703703703712,0.11160689655172419
416a6448fcdb7c657adaf06d2660af34,player_threes,Tyrese Haliburton,IND,BOS,fanduel,Under,-148,2.5,1630169,0.5967741935483871,0.5229,0.4771,-0.1196741935483871,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Aaron Nesmith,IND,BOS,draftkings,Over,-110,1.5,1630174,0.5238095238095238,0.4326,0.5674,-0.09120952380952385,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Aaron Nesmith,IND,BOS,draftkings,Under,-120,1.5,1630174,0.5454545454545454,0.4326,0.5674,0.0219454545454546,0.048280000000000135
416a6448fcdb7c657adaf06d2660af34,player_threes,Buddy Hield,IND,BOS,draftkings,Over,-105,3.5,1627741,0.5121951219512195,0.5201,0.4799,0.007904878048780484,0.016204999999999966
416a6448fcdb7c657adaf06d2660af34,player_threes,Buddy Hield,IND,BOS,draftkings,Under,-125,3.5,1627741,0.5555555555555556,0.5201,0.4799,-0.07565555555555559,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jaylen Brown,BOS,IND,draftkings,Over,-105,2.5,1627759,0.5121951219512195,0.4698,0.5302,-0.04239512195121953,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jaylen Brown,BOS,IND,draftkings,Under,-125,2.5,1627759,0.5555555555555556,0.4698,0.5302,-0.025355555555555576,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jayson Tatum,BOS,IND,draftkings,Over,125,3.5,1628369,0.4444444444444444,0.4501,0.5499,0.00565555555555558,0.01017999999999999
416a6448fcdb7c657adaf06d2660af34,player_threes,Jayson Tatum,BOS,IND,draftkings,Under,-155,3.5,1628369,0.6078431372549019,0.4501,0.5499,-0.057943137254901855,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Myles Turner,IND,BOS,draftkings,Over,135,1.5,1626167,0.42553191489361697,0.4515,0.5485,0.025968085106383043,0.04520370370370378
416a6448fcdb7c657adaf06d2660af34,player_threes,Myles Turner,IND,BOS,draftkings,Under,-165,1.5,1626167,0.6226415094339622,0.4515,0.5485,-0.07414150943396225,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Tyrese Haliburton,IND,BOS,draftkings,Over,120,2.5,1630169,0.4545454545454546,0.5229,0.4771,0.06835454545454545,0.1253166666666666
416a6448fcdb7c657adaf06d2660af34,player_threes,Tyrese Haliburton,IND,BOS,draftkings,Under,-150,2.5,1630169,0.6,0.5229,0.4771,-0.12289999999999995,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Aaron Nesmith,IND,BOS,betonlineag,Over,-106,1.5,1630174,0.5145631067961165,0.4326,0.5674,-0.08196310679611651,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Aaron Nesmith,IND,BOS,betonlineag,Under,-122,1.5,1630174,0.5495495495495496,0.4326,0.5674,0.017850450450450417,0.039627999999999934
416a6448fcdb7c657adaf06d2660af34,player_threes,Buddy Hield,IND,BOS,betonlineag,Over,-105,3.5,1627741,0.5121951219512195,0.5201,0.4799,0.007904878048780484,0.016204999999999966
416a6448fcdb7c657adaf06d2660af34,player_threes,Buddy Hield,IND,BOS,betonlineag,Under,-123,3.5,1627741,0.5515695067264574,0.5201,0.4799,-0.07166950672645744,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jaylen Brown,BOS,IND,betonlineag,Over,-102,2.5,1627759,0.504950495049505,0.4698,0.5302,-0.03515049504950496,0.0
416a6448fcdb7c657adaf06d2660af34,player_threes,Jaylen Brown,BOS,IND,betonlineag,Under,-127,2.5,1627759,0.5594713656387665,0.4698,0.5302,-0.029271365638766533,0.0
