id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id,implied_odds,p(over),p(under),edge,ev,suggested_kelly
30f8e1bcf9f78e431692d16159641c19,player_threes,Talen Horton-Tucker,UTA,SAS,fanduel,Under,114,1.5,1629659.0,0.4672897196261683,0.1905,0.8095,0.3422102803738317,0.7323299999999997,0.6423947368421051
30f8e1bcf9f78e431692d16159641c19,player_threes,Talen Horton-Tucker,UTA,SAS,betonlineag,Under,107,1.5,1629659.0,0.48309178743961356,0.1905,0.8095,0.32640821256038643,0.675665,0.6314626168224299
30f8e1bcf9f78e431692d16159641c19,player_threes,Talen Horton-Tucker,UTA,SAS,draftkings,Under,100,1.5,1629659.0,0.5,0.1905,0.8095,0.3095,0.619,0.619
30f8e1bcf9f78e431692d16159641c19,player_threes,Talen Horton-Tucker,UTA,SAS,williamhill_us,Under,-109,1.5,1629659.0,0.5215311004784688,0.1905,0.8095,0.28796889952153115,0.5521605504587157,0.601855
c561733244807b85c43bd2c80d73a010,player_threes,Dorian Finney-Smith,BKN,MIL,fanduel,Under,100,1.5,1627827.0,0.5,0.2274,0.7726,0.27259999999999995,0.5451999999999999,0.5451999999999999
2f5a74d16e351bb6bfd69edb4d609d2d,player_threes,Isaiah Joe,OKC,SAC,fanduel,Under,-106,3.5,1630198.0,0.5145631067961165,0.2145,0.7855,0.2709368932038835,0.5265377358490566,0.55813
30f8e1bcf9f78e431692d16159641c19,player_threes,Malaki Branham,SAS,UTA,fanduel,Under,110,1.5,1631103.0,0.47619047619047616,0.2867,0.7133,0.23710952380952388,0.4979300000000002,0.4526636363636365
c561733244807b85c43bd2c80d73a010,player_threes,Dorian Finney-Smith,BKN,MIL,betonlineag,Under,-108,1.5,1627827.0,0.5192307692307693,0.2274,0.7726,0.2533692307692307,0.48797037037037017,0.5270079999999999
c561733244807b85c43bd2c80d73a010,player_threes,Dorian Finney-Smith,BKN,MIL,williamhill_us,Under,-109,1.5,1627827.0,0.5215311004784688,0.2274,0.7726,0.2510688995215311,0.4814073394495413,0.524734
c561733244807b85c43bd2c80d73a010,player_threes,Dorian Finney-Smith,BKN,MIL,draftkings,Under,-110,1.5,1627827.0,0.5238095238095238,0.2274,0.7726,0.24879047619047612,0.47496363636363625,0.5224599999999999
30f8e1bcf9f78e431692d16159641c19,player_threes,Malaki Branham,SAS,UTA,betonlineag,Under,103,1.5,1631103.0,0.4926108374384236,0.2867,0.7133,0.22068916256157645,0.44799900000000026,0.4349504854368933
30f8e1bcf9f78e431692d16159641c19,player_threes,Malaki Branham,SAS,UTA,draftkings,Under,100,1.5,1631103.0,0.5,0.2867,0.7133,0.21330000000000005,0.4266000000000001,0.42660000000000003
e11e960cb8a468eeb86243d14ff0e115,player_threes,Kyle Anderson,MIN,LAC,betonlineag,Over,-114,0.5,203937.0,0.5327102803738317,0.7389,0.2611,0.20618971962616828,0.38705789473684216,0.441246
e11e960cb8a468eeb86243d14ff0e115,player_threes,Kyle Anderson,MIN,LAC,betmgm,Over,-115,0.5,203937.0,0.5348837209302325,0.7389,0.2611,0.2040162790697675,0.38142173913043487,0.43863500000000005
30f8e1bcf9f78e431692d16159641c19,player_threes,Malaki Branham,SAS,UTA,williamhill_us,Under,-108,1.5,1631103.0,0.5192307692307693,0.2867,0.7133,0.19406923076923077,0.37376296296296285,0.40366399999999997
327fcaf3f07c234562bf8d48ebcd6120,player_threes,Nikola Jokic,DEN,HOU,betonlineag,Over,-105,0.5,203999.0,0.5121951219512195,0.6985,0.3015,0.1863048780487805,0.3637380952380953,0.38192499999999996
327fcaf3f07c234562bf8d48ebcd6120,player_threes,Nikola Jokic,DEN,HOU,draftkings,Over,-105,0.5,203999.0,0.5121951219512195,0.6985,0.3015,0.1863048780487805,0.3637380952380953,0.38192499999999996
e11e960cb8a468eeb86243d14ff0e115,player_threes,Kyle Anderson,MIN,LAC,draftkings,Over,-120,0.5,203937.0,0.5454545454545454,0.7389,0.2611,0.1934454545454546,0.35465000000000013,0.42558000000000007
0bd3aec04d34573803555d9163d4a33a,player_threes,Klay Thompson,GSW,POR,draftkings,Under,125,4.5,202691.0,0.4444444444444444,0.3994,0.6006,0.1561555555555556,0.35135000000000005,0.28108000000000005
e11e960cb8a468eeb86243d14ff0e115,player_threes,Kyle Anderson,MIN,LAC,williamhill_us,Over,-121,0.5,203937.0,0.5475113122171946,0.7389,0.2611,0.19138868778280538,0.3495611570247932,0.42296899999999993
0bd3aec04d34573803555d9163d4a33a,player_threes,Klay Thompson,GSW,POR,betonlineag,Under,124,4.5,202691.0,0.4464285714285714,0.3994,0.6006,0.15417142857142863,0.3453440000000001,0.2785032258064517
327fcaf3f07c234562bf8d48ebcd6120,player_threes,Nikola Jokic,DEN,HOU,williamhill_us,Over,-108,0.5,203999.0,0.5192307692307693,0.6985,0.3015,0.17926923076923074,0.34525925925925915,0.37287999999999993
0bd3aec04d34573803555d9163d4a33a,player_threes,Klay Thompson,GSW,POR,williamhill_us,Under,116,4.5,202691.0,0.4629629629629629,0.3994,0.6006,0.1376370370370371,0.2972960000000002,0.25628965517241387
e11e960cb8a468eeb86243d14ff0e115,player_threes,Jaden McDaniels,MIN,LAC,fanduel,Over,122,1.5,1630183.0,0.4504504504504504,0.5754,0.4246,0.12494954954954962,0.2773880000000002,0.22736721311475422
c561733244807b85c43bd2c80d73a010,player_threes,Spencer Dinwiddie,BKN,MIL,fanduel,Under,-162,2.5,203915.0,0.6183206106870229,0.2102,0.7898,0.17147938931297702,0.2773308641975307,0.4492759999999999
