SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629028,0022200870,"FEB 14, 2023",PHX vs. SAC,W,37,13,17,0.765,0,0,0.0,3,4,0.75,3,8,11,2,4,2,1,2,29,21,1
22022,1629028,0022200836,"FEB 10, 2023",PHX @ IND,W,30,9,14,0.643,0,0,0.0,4,4,1.0,4,7,11,2,2,1,1,2,22,23,1
22022,1629028,0022200832,"FEB 09, 2023",PHX @ ATL,L,30,10,15,0.667,0,0,0.0,3,4,0.75,0,2,2,2,1,2,1,3,23,-9,1
22022,1629028,0022200817,"FEB 07, 2023",PHX @ BKN,W,35,14,18,0.778,0,0,0.0,7,8,0.875,6,9,15,0,1,0,1,3,35,12,1
22022,1629028,0022200794,"FEB 04, 2023",PHX @ DET,W,31,13,15,0.867,0,0,0.0,5,6,0.833,3,13,16,2,0,1,0,3,31,20,1
22022,1629028,0022200788,"FEB 03, 2023",PHX @ BOS,W,35,7,13,0.538,0,0,0.0,0,1,0.0,2,8,10,5,0,1,3,2,14,-6,1
22022,1629028,0022200777,"FEB 01, 2023",PHX vs. ATL,L,27,9,12,0.75,0,0,0.0,2,3,0.667,1,8,9,0,0,0,0,0,20,-26,1
22022,1629028,0022200762,"JAN 30, 2023",PHX vs. TOR,W,31,9,17,0.529,0,0,0.0,4,4,1.0,5,8,13,2,0,0,1,2,22,1,1
22022,1629028,0022200748,"JAN 28, 2023",PHX @ SAS,W,37,11,20,0.55,0,0,0.0,1,2,0.5,1,7,8,3,1,0,2,3,23,2,1
22022,1629028,0022200734,"JAN 26, 2023",PHX vs. DAL,L,31,6,20,0.3,0,1,0.0,7,10,0.7,7,13,20,2,0,2,2,3,19,-1,1
22022,1629028,0022200681,"JAN 19, 2023",PHX vs. BKN,W,32,11,20,0.55,0,0,0.0,2,6,0.333,2,12,14,4,1,0,3,5,24,1,1
22022,1629028,0022200663,"JAN 16, 2023",PHX @ MEM,L,30,8,11,0.727,0,0,0.0,2,2,1.0,1,4,5,1,0,0,2,4,18,-14,1
22022,1629028,0022200637,"JAN 13, 2023",PHX @ MIN,L,31,5,18,0.278,0,1,0.0,1,2,0.5,3,8,11,4,0,0,2,2,11,-11,1
22022,1629028,0022200603,"JAN 08, 2023",PHX vs. CLE,L,30,6,16,0.375,0,0,0.0,2,2,1.0,3,8,11,6,0,1,0,2,14,-5,1
22022,1629028,0022200589,"JAN 06, 2023",PHX vs. MIA,L,36,10,20,0.5,0,1,0.0,3,4,0.75,2,12,14,2,0,0,3,2,23,-3,1
22022,1629028,0022200565,"JAN 04, 2023",PHX @ CLE,L,37,7,12,0.583,0,1,0.0,1,2,0.5,2,16,18,1,1,0,3,2,15,-5,1
22022,1629028,0022200550,"JAN 02, 2023",PHX @ NYK,L,29,6,13,0.462,0,1,0.0,0,0,0.0,0,5,5,2,1,0,3,1,12,-24,1
22022,1629028,0022200531,"DEC 30, 2022",PHX @ TOR,L,31,2,10,0.2,0,0,0.0,0,0,0.0,1,6,7,3,0,0,2,2,4,-18,1
22022,1629028,0022200516,"DEC 28, 2022",PHX @ WAS,L,36,14,22,0.636,1,1,1.0,2,2,1.0,6,1,7,3,2,0,2,3,31,-6,1
22022,1629028,0022200510,"DEC 27, 2022",PHX @ MEM,W,27,6,12,0.5,0,0,0.0,3,3,1.0,1,9,10,0,0,1,1,3,15,17,1
22022,1629028,0022200497,"DEC 25, 2022",PHX @ DEN,L,38,9,18,0.5,1,1,1.0,3,4,0.75,3,13,16,2,2,2,6,3,22,-13,1
22022,1629028,0022200490,"DEC 23, 2022",PHX vs. MEM,L,21,9,12,0.75,0,1,0.0,0,2,0.0,1,4,5,0,0,0,0,4,18,-11,1
22022,1629028,0022200464,"DEC 20, 2022",PHX vs. WAS,L,32,12,20,0.6,0,0,0.0,6,6,1.0,4,9,13,0,0,1,4,5,30,-16,1
22022,1629028,0022200459,"DEC 19, 2022",PHX vs. LAL,W,26,9,11,0.818,1,1,1.0,2,4,0.5,4,7,11,0,0,1,3,0,21,11,1
22022,1629028,0022200411,"DEC 13, 2022",PHX @ HOU,L,15,2,10,0.2,0,1,0.0,1,1,1.0,3,0,3,0,0,0,1,2,5,-17,1
22022,1629028,0022200395,"DEC 11, 2022",PHX @ NOP,L,33,13,18,0.722,0,0,0.0,2,3,0.667,6,6,12,5,0,1,1,6,28,-17,1
22022,1629028,0022200384,"DEC 09, 2022",PHX @ NOP,L,40,11,15,0.733,0,0,0.0,3,5,0.6,4,10,14,2,1,1,3,3,25,-11,1
22022,1629028,0022200373,"DEC 07, 2022",PHX vs. BOS,L,24,4,7,0.571,0,0,0.0,0,0,0.0,2,5,7,2,1,0,4,1,8,-28,1
22022,1629028,0022200358,"DEC 05, 2022",PHX @ DAL,L,27,9,11,0.818,0,0,0.0,2,4,0.5,1,7,8,1,0,3,1,2,20,-15,1
22022,1629028,0022200345,"DEC 04, 2022",PHX @ SAS,W,25,10,14,0.714,1,1,1.0,4,5,0.8,2,8,10,3,0,0,2,1,25,30,1
22022,1629028,0022200334,"DEC 02, 2022",PHX vs. HOU,L,30,4,7,0.571,0,0,0.0,0,0,0.0,2,4,6,2,1,1,5,3,8,3,1
