SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628398,0022200872,"FEB 14, 2023",WAS @ POR,W,36,11,20,0.55,6,10,0.6,5,6,0.833,1,8,9,2,0,1,3,1,33,18,1
22022,1628398,0022200793,"FEB 04, 2023",WAS @ BKN,L,11,0,6,0.0,0,1,0.0,2,2,1.0,0,2,2,5,0,0,0,1,2,11,1
22022,1628398,0022200787,"FEB 03, 2023",WAS vs. POR,L,37,4,11,0.364,0,5,0.0,4,4,1.0,1,10,11,6,0,1,2,3,12,-4,1
22022,1628398,0022200760,"JAN 30, 2023",WAS @ SAS,W,32,5,11,0.455,1,3,0.333,5,6,0.833,0,6,6,3,0,0,5,2,16,5,1
22022,1628398,0022200747,"JAN 28, 2023",WAS @ NOP,W,38,4,13,0.308,2,9,0.222,0,0,0.0,0,9,9,5,1,1,2,2,10,4,1
22022,1628398,0022200722,"JAN 25, 2023",WAS @ HOU,W,41,12,25,0.48,5,13,0.385,4,5,0.8,1,8,9,2,1,1,2,1,33,6,1
22022,1628398,0022200717,"JAN 24, 2023",WAS @ DAL,W,37,12,23,0.522,2,10,0.2,4,5,0.8,0,5,5,2,0,1,3,2,30,8,1
22022,1628398,0022200693,"JAN 21, 2023",WAS vs. ORL,W,32,9,20,0.45,5,11,0.455,2,6,0.333,1,9,10,6,0,1,1,0,25,19,1
22022,1628398,0022200669,"JAN 18, 2023",WAS @ NYK,W,36,11,24,0.458,4,12,0.333,1,3,0.333,3,10,13,7,1,1,4,3,27,20,1
22022,1628398,0022200660,"JAN 16, 2023",WAS vs. GSW,L,40,5,20,0.25,4,12,0.333,2,4,0.5,3,8,11,5,1,0,6,2,16,-15,1
22022,1628398,0022200634,"JAN 13, 2023",WAS vs. NYK,L,40,14,27,0.519,4,10,0.4,8,9,0.889,1,6,7,7,0,1,3,2,40,-1,1
22022,1628398,0022200619,"JAN 11, 2023",WAS vs. CHI,W,38,9,20,0.45,1,4,0.25,2,3,0.667,0,4,4,3,0,0,2,3,21,11,1
22022,1628398,0022200605,"JAN 09, 2023",WAS vs. NOP,L,23,6,13,0.462,3,8,0.375,4,4,1.0,2,6,8,2,0,0,5,6,19,-15,1
22022,1628398,0022200584,"JAN 06, 2023",WAS @ OKC,L,37,7,14,0.5,2,5,0.4,7,8,0.875,1,4,5,7,1,0,6,3,23,-15,1
22022,1628398,0022200561,"JAN 03, 2023",WAS @ MIL,L,34,10,28,0.357,0,6,0.0,0,0,0.0,1,3,4,2,0,2,2,1,20,-16,1
22022,1628398,0022200548,"JAN 01, 2023",WAS @ MIL,W,33,5,16,0.313,0,2,0.0,0,1,0.0,1,12,13,11,0,0,5,3,10,17,1
22022,1628398,0022200529,"DEC 30, 2022",WAS @ ORL,W,31,9,16,0.563,4,8,0.5,1,2,0.5,0,5,5,6,0,1,8,1,23,14,1
22022,1628398,0022200516,"DEC 28, 2022",WAS vs. PHX,W,36,8,17,0.471,2,4,0.5,4,4,1.0,0,5,5,7,1,0,1,2,22,34,1
22022,1628398,0022200506,"DEC 27, 2022",WAS vs. PHI,W,38,4,13,0.308,2,9,0.222,4,5,0.8,0,8,8,1,0,0,4,1,14,11,1
22022,1628398,0022200491,"DEC 23, 2022",WAS @ SAC,W,37,14,23,0.609,2,8,0.25,2,3,0.667,1,8,9,5,2,0,1,1,32,11,1
22022,1628398,0022200478,"DEC 22, 2022",WAS @ UTA,L,34,8,18,0.444,2,5,0.4,3,4,0.75,1,4,5,2,1,0,2,1,21,-21,1
22022,1628398,0022200464,"DEC 20, 2022",WAS @ PHX,W,37,10,19,0.526,5,10,0.5,4,6,0.667,0,6,6,6,2,0,2,0,29,7,1
22022,1628398,0022200451,"DEC 18, 2022",WAS @ LAL,L,40,9,18,0.5,3,9,0.333,1,2,0.5,2,14,16,2,1,1,3,3,22,-4,1
22022,1628398,0022200438,"DEC 17, 2022",WAS @ LAC,L,39,8,18,0.444,1,6,0.167,0,0,0.0,0,6,6,2,1,1,3,4,17,-9,1
22022,1628398,0022200422,"DEC 14, 2022",WAS @ DEN,L,36,9,16,0.563,4,8,0.5,2,6,0.333,0,2,2,4,0,0,3,4,24,-24,1
22022,1628398,0022200403,"DEC 12, 2022",WAS vs. BKN,L,39,8,21,0.381,4,10,0.4,0,4,0.0,2,5,7,3,0,1,4,2,20,-3,1
22022,1628398,0022200389,"DEC 10, 2022",WAS vs. LAC,L,38,14,27,0.519,7,11,0.636,0,0,0.0,2,10,12,3,1,0,6,2,35,-5,1
22022,1628398,0022200378,"DEC 09, 2022",WAS @ IND,L,36,9,20,0.45,4,9,0.444,5,6,0.833,2,5,7,7,0,0,3,2,27,-13,1
22022,1628398,0022200367,"DEC 07, 2022",WAS @ CHI,L,38,8,18,0.444,2,5,0.4,3,4,0.75,0,5,5,1,2,0,3,1,21,-12,1
