SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,204001,0022200872,"FEB 14, 2023",WAS @ POR,W,30,10,15,0.667,1,3,0.333,7,7,1.0,3,9,12,5,0,1,4,5,28,14,1
22022,204001,0022200866,"FEB 13, 2023",WAS @ GSW,L,36,12,16,0.75,2,3,0.667,8,8,1.0,1,6,7,2,1,0,4,1,34,-14,1
22022,204001,0022200849,"FEB 11, 2023",WAS vs. IND,W,32,4,8,0.5,1,3,0.333,8,8,1.0,4,6,10,5,0,1,0,2,17,14,1
22022,204001,0022200823,"FEB 08, 2023",WAS vs. CHA,W,35,13,22,0.591,8,14,0.571,2,3,0.667,2,7,9,2,0,2,1,2,36,12,1
22022,204001,0022200809,"FEB 06, 2023",WAS vs. CLE,L,26,7,13,0.538,1,6,0.167,3,3,1.0,1,6,7,1,0,1,2,3,18,-21,1
22022,204001,0022200793,"FEB 04, 2023",WAS @ BKN,L,33,11,20,0.55,4,5,0.8,12,13,0.923,1,4,5,2,0,2,5,6,38,3,1
22022,204001,0022200787,"FEB 03, 2023",WAS vs. POR,L,35,9,15,0.6,3,6,0.5,11,12,0.917,0,8,8,4,0,1,1,5,32,1,1
22022,204001,0022200760,"JAN 30, 2023",WAS @ SAS,W,30,7,13,0.538,1,3,0.333,2,2,1.0,1,8,9,7,3,5,2,5,17,9,1
22022,204001,0022200693,"JAN 21, 2023",WAS vs. ORL,W,23,3,10,0.3,1,3,0.333,10,10,1.0,1,5,6,0,0,1,2,2,17,5,1
22022,204001,0022200669,"JAN 18, 2023",WAS @ NYK,W,33,6,17,0.353,4,9,0.444,6,6,1.0,5,6,11,5,0,2,3,6,22,8,1
22022,204001,0022200660,"JAN 16, 2023",WAS vs. GSW,L,37,9,15,0.6,3,7,0.429,11,12,0.917,0,5,5,3,1,2,1,3,32,-17,1
22022,204001,0022200634,"JAN 13, 2023",WAS vs. NYK,L,35,6,19,0.316,4,8,0.5,5,6,0.833,1,3,4,1,0,0,2,4,21,-4,1
22022,204001,0022200605,"JAN 09, 2023",WAS vs. NOP,L,34,8,16,0.5,3,5,0.6,4,4,1.0,3,7,10,1,0,0,1,0,23,-2,1
22022,204001,0022200584,"JAN 06, 2023",WAS @ OKC,L,25,3,11,0.273,0,2,0.0,8,10,0.8,3,7,10,0,0,0,3,0,14,-17,1
22022,204001,0022200561,"JAN 03, 2023",WAS @ MIL,L,35,7,13,0.538,2,5,0.4,6,6,1.0,1,8,9,4,1,1,3,5,22,-15,1
