SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203507,0022200869,"FEB 14, 2023",MIL vs. BOS,W,46,12,26,0.462,1,3,0.333,11,19,0.579,1,12,13,9,0,2,8,4,36,14,1
22022,203507,0022200845,"FEB 10, 2023",MIL @ LAC,W,30,13,25,0.52,1,2,0.5,8,11,0.727,1,7,8,6,2,0,2,2,35,20,1
22022,203507,0022200834,"FEB 09, 2023",MIL @ LAL,W,36,14,23,0.609,1,4,0.25,9,13,0.692,2,8,10,6,1,1,2,3,38,8,1
22022,203507,0022200815,"FEB 06, 2023",MIL @ POR,W,23,9,14,0.643,0,1,0.0,6,8,0.75,4,9,13,8,0,0,6,5,24,17,1
22022,203507,0022200797,"FEB 04, 2023",MIL vs. MIA,W,36,13,19,0.684,0,2,0.0,9,16,0.563,1,14,15,11,1,1,3,2,35,19,1
22022,203507,0022200784,"FEB 02, 2023",MIL vs. LAC,W,36,21,39,0.538,2,8,0.25,10,15,0.667,4,15,19,2,0,0,3,2,54,10,1
22022,203507,0022200767,"JAN 31, 2023",MIL vs. CHA,W,36,14,24,0.583,1,3,0.333,5,6,0.833,3,15,18,4,0,0,4,3,34,-7,1
22022,203507,0022200755,"JAN 29, 2023",MIL vs. NOP,W,30,20,26,0.769,3,4,0.75,7,12,0.583,3,10,13,4,0,0,3,5,50,16,1
22022,203507,0022200736,"JAN 27, 2023",MIL @ IND,W,34,16,29,0.552,2,7,0.286,7,18,0.389,5,7,12,6,1,1,2,3,41,2,1
22022,203507,0022200723,"JAN 25, 2023",MIL vs. DEN,W,31,9,15,0.6,0,0,0.0,15,22,0.682,3,11,14,4,3,0,9,4,33,10,1
22022,203507,0022200706,"JAN 23, 2023",MIL @ DET,W,27,8,15,0.533,2,4,0.5,11,17,0.647,1,11,12,4,0,0,4,1,29,26,1
22022,203507,0022200620,"JAN 11, 2023",MIL @ ATL,W,35,3,10,0.3,0,0,0.0,1,4,0.25,2,16,18,10,0,1,1,5,7,15,1
22022,203507,0022200607,"JAN 09, 2023",MIL @ NYK,W,36,6,15,0.4,1,3,0.333,9,12,0.75,4,6,10,5,0,2,4,2,22,9,1
22022,203507,0022200583,"JAN 06, 2023",MIL vs. CHA,L,22,2,7,0.286,0,2,0.0,5,11,0.455,2,2,4,0,0,0,3,2,9,-21,1
22022,203507,0022200569,"JAN 04, 2023",MIL @ TOR,W,40,7,18,0.389,1,3,0.333,15,21,0.714,2,19,21,10,0,1,12,4,30,20,1
22022,203507,0022200561,"JAN 03, 2023",MIL vs. WAS,W,37,20,33,0.606,0,3,0.0,15,16,0.938,2,8,10,7,2,0,5,3,55,25,1
22022,203507,0022200533,"DEC 30, 2022",MIL vs. MIN,W,38,14,23,0.609,1,1,1.0,14,21,0.667,3,17,20,5,1,2,5,3,43,9,1
22022,203507,0022200519,"DEC 28, 2022",MIL @ CHI,L,42,17,39,0.436,0,3,0.0,11,17,0.647,7,15,22,7,1,0,5,5,45,-10,1
22022,203507,0022200495,"DEC 25, 2022",MIL @ BOS,L,35,9,22,0.409,1,5,0.2,8,12,0.667,1,8,9,3,0,0,3,3,27,-27,1
22022,203507,0022200483,"DEC 23, 2022",MIL @ BKN,L,36,9,13,0.692,0,1,0.0,8,11,0.727,3,10,13,7,2,0,7,3,26,-20,1
22022,203507,0022200466,"DEC 21, 2022",MIL @ CLE,L,40,17,27,0.63,0,1,0.0,11,16,0.688,4,10,14,4,1,2,5,4,45,3,1
22022,203507,0022200457,"DEC 19, 2022",MIL @ NOP,W,34,12,17,0.706,1,3,0.333,17,22,0.773,1,9,10,1,0,1,2,4,42,1,1
22022,203507,0022200425,"DEC 15, 2022",MIL @ MEM,L,26,5,13,0.385,1,3,0.333,8,13,0.615,1,5,6,5,1,0,1,2,19,-29,1
22022,203507,0022200410,"DEC 13, 2022",MIL vs. GSW,W,30,9,26,0.346,1,6,0.167,11,17,0.647,3,9,12,5,1,1,4,4,30,17,1
22022,203507,0022200401,"DEC 11, 2022",MIL @ HOU,L,37,7,17,0.412,0,2,0.0,2,6,0.333,1,17,18,4,1,2,3,5,16,-11,1
22022,203507,0022200386,"DEC 09, 2022",MIL @ DAL,W,35,10,20,0.5,1,1,1.0,7,10,0.7,4,6,10,3,1,0,7,6,28,-2,1
