SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630183,0022200865,"FEB 13, 2023",MIN @ DAL,W,31,7,8,0.875,2,3,0.667,3,7,0.429,2,2,4,2,2,1,1,4,19,3,1
22022,1630183,0022200841,"FEB 10, 2023",MIN @ MEM,L,23,2,10,0.2,2,5,0.4,0,0,0.0,1,2,3,1,0,0,0,3,6,-12,1
22022,1630183,0022200828,"FEB 08, 2023",MIN @ UTA,W,25,5,7,0.714,2,4,0.5,2,2,1.0,0,4,4,4,0,1,2,4,14,20,1
22022,1630183,0022200820,"FEB 07, 2023",MIN @ DEN,L,20,2,6,0.333,0,4,0.0,0,0,0.0,1,1,2,2,1,1,3,1,4,-29,1
22022,1630183,0022200806,"FEB 05, 2023",MIN vs. DEN,W,32,5,10,0.5,0,0,0.0,4,4,1.0,0,4,4,6,1,0,0,4,14,10,1
22022,1630183,0022200790,"FEB 03, 2023",MIN vs. ORL,L,23,3,6,0.5,1,1,1.0,1,1,1.0,1,2,3,1,0,2,2,1,8,0,1
22022,1630183,0022200774,"FEB 01, 2023",MIN vs. GSW,W,38,3,8,0.375,0,2,0.0,3,4,0.75,2,5,7,3,1,2,0,5,9,7,1
22022,1630183,0022200758,"JAN 30, 2023",MIN vs. SAC,L,33,4,8,0.5,1,4,0.25,2,3,0.667,1,2,3,4,0,0,0,3,11,-1,1
22022,1630183,0022200746,"JAN 28, 2023",MIN vs. SAC,W,35,6,12,0.5,3,7,0.429,0,0,0.0,2,6,8,2,0,0,4,5,15,14,1
22022,1630183,0022200737,"JAN 27, 2023",MIN vs. MEM,W,31,4,10,0.4,0,4,0.0,0,0,0.0,1,5,6,3,0,0,1,1,8,0,1
22022,1630183,0022200724,"JAN 25, 2023",MIN @ NOP,W,34,4,7,0.571,2,4,0.5,0,0,0.0,0,0,0,2,1,0,0,6,10,4,1
22022,1630183,0022200709,"JAN 23, 2023",MIN @ HOU,L,35,4,11,0.364,1,6,0.167,1,2,0.5,1,3,4,1,0,0,2,6,10,-10,1
22022,1630183,0022200696,"JAN 21, 2023",MIN vs. HOU,W,31,2,5,0.4,0,2,0.0,1,3,0.333,0,2,2,0,1,2,1,2,5,0,1
22022,1630183,0022200680,"JAN 19, 2023",MIN vs. TOR,W,37,7,14,0.5,4,7,0.571,0,0,0.0,3,4,7,1,1,1,0,4,18,5,1
22022,1630183,0022200676,"JAN 18, 2023",MIN @ DEN,L,34,7,10,0.7,2,3,0.667,2,2,1.0,1,2,3,2,0,3,3,3,18,-1,1
22022,1630183,0022200662,"JAN 16, 2023",MIN vs. UTA,L,21,2,8,0.25,1,3,0.333,0,0,0.0,3,2,5,2,2,0,1,5,5,10,1
22022,1630183,0022200645,"JAN 14, 2023",MIN vs. CLE,W,28,4,7,0.571,1,3,0.333,0,0,0.0,0,0,0,2,4,1,2,5,9,5,1
22022,1630183,0022200637,"JAN 13, 2023",MIN vs. PHX,W,36,5,10,0.5,2,2,1.0,2,2,1.0,0,5,5,6,1,1,0,2,14,13,1
22022,1630183,0022200618,"JAN 11, 2023",MIN @ DET,L,29,4,7,0.571,1,2,0.5,2,2,1.0,2,1,3,4,0,0,3,2,11,-17,1
22022,1630183,0022200601,"JAN 08, 2023",MIN @ HOU,W,31,5,9,0.556,1,4,0.25,1,3,0.333,2,7,9,3,2,0,2,2,12,5,1
22022,1630183,0022200587,"JAN 06, 2023",MIN vs. LAC,W,33,6,10,0.6,3,6,0.5,3,4,0.75,1,3,4,3,0,1,1,1,18,18,1
22022,1630183,0022200571,"JAN 04, 2023",MIN vs. POR,W,28,2,7,0.286,0,1,0.0,4,5,0.8,2,0,2,1,0,2,2,5,8,-9,1
22022,1630183,0022200557,"JAN 02, 2023",MIN vs. DEN,W,25,9,10,0.9,2,2,1.0,1,2,0.5,2,2,4,4,1,1,2,4,21,13,1
