SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,101108,0022200870,"FEB 14, 2023",PHX vs. SAC,W,37,7,15,0.467,1,5,0.2,2,2,1.0,0,5,5,19,2,0,4,0,17,14,1
22022,101108,0022200836,"FEB 10, 2023",PHX @ IND,W,30,7,18,0.389,1,3,0.333,4,4,1.0,1,1,2,9,2,0,3,0,19,22,1
22022,101108,0022200832,"FEB 09, 2023",PHX @ ATL,L,33,5,13,0.385,0,2,0.0,5,5,1.0,0,5,5,8,3,2,1,0,15,-17,1
22022,101108,0022200817,"FEB 07, 2023",PHX @ BKN,W,34,3,10,0.3,1,3,0.333,2,2,1.0,0,2,2,12,5,2,2,4,9,4,1
22022,101108,0022200794,"FEB 04, 2023",PHX @ DET,W,33,0,7,0.0,0,3,0.0,2,2,1.0,0,4,4,14,2,0,4,2,2,24,1
22022,101108,0022200788,"FEB 03, 2023",PHX @ BOS,W,35,6,15,0.4,1,5,0.2,2,3,0.667,0,6,6,8,1,1,0,3,15,-4,1
22022,101108,0022200777,"FEB 01, 2023",PHX vs. ATL,L,27,1,6,0.167,0,3,0.0,1,2,0.5,0,2,2,3,0,1,2,2,3,-26,1
22022,101108,0022200762,"JAN 30, 2023",PHX vs. TOR,W,35,5,11,0.455,4,7,0.571,5,5,1.0,0,4,4,9,0,2,3,3,19,3,1
22022,101108,0022200748,"JAN 28, 2023",PHX @ SAS,W,39,12,20,0.6,1,4,0.25,6,6,1.0,0,7,7,11,1,2,1,1,31,14,1
22022,101108,0022200734,"JAN 26, 2023",PHX vs. DAL,L,38,9,16,0.563,4,7,0.571,0,0,0.0,0,6,6,10,1,0,2,4,22,7,1
22022,101108,0022200718,"JAN 24, 2023",PHX vs. CHA,W,27,6,9,0.667,2,3,0.667,0,0,0.0,1,4,5,11,0,0,0,1,14,6,1
22022,101108,0022200703,"JAN 22, 2023",PHX vs. MEM,W,38,8,18,0.444,3,9,0.333,3,3,1.0,0,6,6,11,3,1,5,1,22,5,1
22022,101108,0022200589,"JAN 06, 2023",PHX vs. MIA,L,12,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,1,1,0,1,2,5,-6,1
22022,101108,0022200565,"JAN 04, 2023",PHX @ CLE,L,40,9,17,0.529,3,5,0.6,4,4,1.0,0,4,4,8,2,0,1,3,25,7,1
22022,101108,0022200550,"JAN 02, 2023",PHX @ NYK,L,30,4,11,0.364,1,3,0.333,2,2,1.0,1,3,4,2,1,0,0,2,11,-38,1
22022,101108,0022200531,"DEC 30, 2022",PHX @ TOR,L,35,6,12,0.5,3,6,0.5,5,6,0.833,0,5,5,12,1,0,6,0,20,-9,1
22022,101108,0022200516,"DEC 28, 2022",PHX @ WAS,L,32,8,15,0.533,3,6,0.5,1,2,0.5,0,2,2,6,2,2,4,3,20,-15,1
22022,101108,0022200510,"DEC 27, 2022",PHX @ MEM,W,24,5,9,0.556,4,5,0.8,0,0,0.0,0,1,1,6,1,0,4,2,14,4,1
22022,101108,0022200497,"DEC 25, 2022",PHX @ DEN,L,41,6,17,0.353,0,3,0.0,5,10,0.5,0,4,4,16,2,1,0,4,17,-1,1
22022,101108,0022200490,"DEC 23, 2022",PHX vs. MEM,L,25,5,8,0.625,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,1,10,-20,1
22022,101108,0022200464,"DEC 20, 2022",PHX vs. WAS,L,36,3,11,0.273,1,3,0.333,5,7,0.714,2,2,4,11,2,0,3,3,12,-10,1
22022,101108,0022200459,"DEC 19, 2022",PHX vs. LAL,W,31,9,18,0.5,3,5,0.6,7,8,0.875,1,3,4,8,2,0,0,4,28,18,1
22022,101108,0022200444,"DEC 17, 2022",PHX vs. NOP,W,35,6,11,0.545,5,7,0.714,1,2,0.5,0,5,5,8,1,0,2,2,18,6,1
22022,101108,0022200427,"DEC 15, 2022",PHX @ LAC,W,36,6,13,0.462,2,6,0.333,1,2,0.5,1,6,7,13,2,1,1,0,15,7,1
22022,101108,0022200411,"DEC 13, 2022",PHX @ HOU,L,38,5,17,0.294,2,10,0.2,4,4,1.0,1,5,6,7,2,1,4,2,16,-10,1
22022,101108,0022200395,"DEC 11, 2022",PHX @ NOP,L,34,3,10,0.3,0,3,0.0,0,1,0.0,1,2,3,11,1,0,3,6,6,-5,1
22022,101108,0022200384,"DEC 09, 2022",PHX @ NOP,L,34,7,14,0.5,6,9,0.667,4,4,1.0,0,8,8,7,0,0,3,3,24,3,1
22022,101108,0022200373,"DEC 07, 2022",PHX vs. BOS,L,24,2,6,0.333,0,2,0.0,0,0,0.0,0,4,4,4,1,0,4,3,4,-28,1
22022,101108,0022200148,"NOV 07, 2022",PHX @ PHI,L,14,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,2,2,0,2,1,2,-10,1
22022,101108,0022200139,"NOV 05, 2022",PHX vs. POR,W,24,3,7,0.429,2,4,0.5,7,7,1.0,0,5,5,4,0,0,1,2,15,16,1
22022,101108,0022200130,"NOV 04, 2022",PHX vs. POR,L,34,1,4,0.25,1,3,0.333,4,4,1.0,0,2,2,11,2,1,0,2,7,4,1
22022,101108,0022200106,"NOV 01, 2022",PHX vs. MIN,W,34,5,12,0.417,1,5,0.2,4,6,0.667,1,7,8,12,3,0,1,2,15,18,1
22022,101108,0022200094,"OCT 30, 2022",PHX vs. HOU,W,31,3,7,0.429,0,4,0.0,4,5,0.8,0,1,1,15,0,0,0,1,10,19,1
22022,101108,0022200079,"OCT 28, 2022",PHX vs. NOP,W,31,1,7,0.143,0,1,0.0,5,6,0.833,1,4,5,9,1,0,3,1,7,-3,1
22022,101108,0022200055,"OCT 25, 2022",PHX vs. GSW,W,35,5,10,0.5,4,5,0.8,2,2,1.0,0,7,7,9,1,0,2,4,16,21,1
22022,101108,0022200043,"OCT 23, 2022",PHX @ LAC,W,33,3,11,0.273,1,8,0.125,0,0,0.0,3,5,8,11,1,1,2,2,7,15,1
22022,101108,0022200027,"OCT 21, 2022",PHX @ POR,L,36,5,11,0.455,0,1,0.0,0,0,0.0,0,4,4,12,5,0,1,5,10,0,1
22022,101108,0022200013,"OCT 19, 2022",PHX vs. DAL,W,30,1,6,0.167,0,2,0.0,4,4,1.0,0,3,3,9,2,0,3,3,6,-9,1
