id,player_name,matchup_home_team,matchup_away_team,sports_book,name,price,points
427facf723f3683c91155fddde234aaa,Giannis Antetokounmpo,Milwaukee Bucks,Boston Celtics,williamhill_us,Under,-119,33.5
427facf723f3683c91155fddde234aaa,Grayson Allen,Milwaukee Bucks,Boston Celtics,williamhill_us,Over,-123,9.5
427facf723f3683c91155fddde234aaa,Grayson Allen,Milwaukee Bucks,Boston Celtics,williamhill_us,Under,-111,9.5
427facf723f3683c91155fddde234aaa,Jrue Holiday,Milwaukee Bucks,Boston Celtics,betonlineag,Under,-125,19.5
427facf723f3683c91155fddde234aaa,Jrue Holiday,Milwaukee Bucks,Boston Celtics,betonlineag,Over,-103,19.5
427facf723f3683c91155fddde234aaa,Giannis Antetokounmpo,Milwaukee Bucks,Boston Celtics,betonlineag,Under,-116,33.5
427facf723f3683c91155fddde234aaa,Giannis Antetokounmpo,Milwaukee Bucks,Boston Celtics,betonlineag,Over,-111,33.5
427facf723f3683c91155fddde234aaa,Brook Lopez,Milwaukee Bucks,Boston Celtics,betonlineag,Under,-103,12.5
427facf723f3683c91155fddde234aaa,Brook Lopez,Milwaukee Bucks,Boston Celtics,betonlineag,Over,-125,12.5
427facf723f3683c91155fddde234aaa,Grayson Allen,Milwaukee Bucks,Boston Celtics,betonlineag,Under,-110,9.5
427facf723f3683c91155fddde234aaa,Grayson Allen,Milwaukee Bucks,Boston Celtics,betonlineag,Over,-118,9.5
427facf723f3683c91155fddde234aaa,Derrick White,Milwaukee Bucks,Boston Celtics,betonlineag,Under,-118,19.5
427facf723f3683c91155fddde234aaa,Derrick White,Milwaukee Bucks,Boston Celtics,betonlineag,Over,-110,19.5
427facf723f3683c91155fddde234aaa,Al Horford,Milwaukee Bucks,Boston Celtics,betonlineag,Under,-104,9.5
427facf723f3683c91155fddde234aaa,Al Horford,Milwaukee Bucks,Boston Celtics,betonlineag,Over,-123,9.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,draftkings,Over,-110,16.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,draftkings,Under,-120,16.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,draftkings,Over,-125,21.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,draftkings,Under,-105,21.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,draftkings,Over,-110,8.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,draftkings,Under,-120,8.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,draftkings,Over,-115,14.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,draftkings,Under,-115,14.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,draftkings,Over,-120,19.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,draftkings,Under,-110,19.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,draftkings,Over,-115,25.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,draftkings,Under,-115,25.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,draftkings,Over,-105,16.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,draftkings,Under,-125,16.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,draftkings,Over,-105,14.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,draftkings,Under,-125,14.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,betmgm,Over,-120,25.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,betmgm,Under,-115,25.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,betmgm,Over,-125,21.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,betmgm,Under,-110,21.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,betmgm,Over,-125,19.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,betmgm,Under,-110,19.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,betmgm,Over,-110,16.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,betmgm,Under,-120,16.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,betmgm,Over,-110,14.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,betmgm,Under,-120,14.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,betmgm,Over,-115,14.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,betmgm,Under,-115,14.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,betmgm,Over,-110,8.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,betmgm,Under,-125,8.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,betmgm,Over,-105,16.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,betmgm,Under,-125,16.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,fanduel,Over,-111,14.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,fanduel,Under,-115,14.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,fanduel,Over,106,8.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,fanduel,Under,-136,8.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter,Toronto Raptors,Orlando Magic,fanduel,Over,-111,14.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter,Toronto Raptors,Orlando Magic,fanduel,Under,-115,14.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,fanduel,Over,-115,25.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,fanduel,Under,-111,25.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,fanduel,Over,-113,16.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,fanduel,Under,-113,16.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,fanduel,Over,100,16.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,fanduel,Under,-128,16.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,fanduel,Over,-125,21.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,fanduel,Under,-102,21.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,fanduel,Over,-115,19.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,fanduel,Under,-111,19.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,williamhill_us,Over,-123,25.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,williamhill_us,Under,-111,25.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,williamhill_us,Over,-117,16.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,williamhill_us,Under,-117,16.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,williamhill_us,Over,-104,8.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,williamhill_us,Under,-131,8.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,williamhill_us,Over,-106,16.5
acb6d64e90438adb7d2e85f650ef95e7,Scottie Barnes,Toronto Raptors,Orlando Magic,williamhill_us,Under,-129,16.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,williamhill_us,Over,-111,14.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,williamhill_us,Under,-123,14.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,williamhill_us,Over,-115,14.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,williamhill_us,Under,-119,14.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,williamhill_us,Over,-123,19.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,williamhill_us,Under,-111,19.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,williamhill_us,Over,-125,21.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,williamhill_us,Under,-109,21.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,betonlineag,Under,-110,19.5
acb6d64e90438adb7d2e85f650ef95e7,Paolo Banchero,Toronto Raptors,Orlando Magic,betonlineag,Over,-118,19.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,betonlineag,Under,-118,14.5
acb6d64e90438adb7d2e85f650ef95e7,Markelle Fultz,Toronto Raptors,Orlando Magic,betonlineag,Over,-110,14.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,betonlineag,Under,-112,25.5
acb6d64e90438adb7d2e85f650ef95e7,Pascal Siakam,Toronto Raptors,Orlando Magic,betonlineag,Over,-115,25.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,betonlineag,Under,-110,21.5
acb6d64e90438adb7d2e85f650ef95e7,Fred VanVleet,Toronto Raptors,Orlando Magic,betonlineag,Over,-118,21.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,betonlineag,Under,-119,16.5
acb6d64e90438adb7d2e85f650ef95e7,Franz Wagner,Toronto Raptors,Orlando Magic,betonlineag,Over,-109,16.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,betonlineag,Under,-118,14.5
acb6d64e90438adb7d2e85f650ef95e7,Wendell Carter Jr.,Toronto Raptors,Orlando Magic,betonlineag,Over,-110,14.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,betonlineag,Under,-127,8.5
acb6d64e90438adb7d2e85f650ef95e7,Gary Harris,Toronto Raptors,Orlando Magic,betonlineag,Over,-102,8.5
