id,prop_type,player_name,matchup_home_team,matchup_away_team,sports_book,name,price,points,nba_api_player_id
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,draftkings,Over,-125,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,draftkings,Under,-105,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,draftkings,Over,-110,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,draftkings,Under,-120,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,draftkings,Over,-110,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,draftkings,Under,-120,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley,Minnesota Timberwolves,Washington Wizards,draftkings,Over,-130,11.5,201144.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley,Minnesota Timberwolves,Washington Wizards,draftkings,Under,100,11.5,201144.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,draftkings,Over,-120,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,draftkings,Under,-110,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,draftkings,Over,-105,14.5,203497.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,draftkings,Under,-125,14.5,203497.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-114,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-114,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-109,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-119,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-119,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-109,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-122,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-106,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-104,11.5,201144.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-123,11.5,201144.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-109,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-119,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-108,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-120,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,betonlineag,Under,-127,14.5,203497.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,betonlineag,Over,-102,14.5,203497.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-108,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-127,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-117,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-117,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-111,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-123,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-121,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-113,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-106,14.5,203497.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-129,14.5,203497.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-123,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-111,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-133,11.5,201144.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-103,11.5,201144.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Daniel Gafford,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-115,9.5,1629655.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Daniel Gafford,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-119,9.5,1629655.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,williamhill_us,Over,-129,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,williamhill_us,Under,-106,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Daniel Gafford,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-105,9.5,1629655.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Daniel Gafford,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-125,9.5,1629655.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley Jr.,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-135,11.5,
8b80fc750627fcdf4d465cf2bf265acc,player_points,Mike Conley Jr.,Minnesota Timberwolves,Washington Wizards,betmgm,Under,100,11.5,
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-120,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Monte Morris,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-110,9.5,1628420.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-115,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-115,28.5,1630162.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-110,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kyle Kuzma,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-120,22.5,1628398.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-120,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Bradley Beal,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-110,22.5,203078.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-130,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Jaden McDaniels,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-105,11.5,1630183.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-110,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Kristaps Porzingis,Minnesota Timberwolves,Washington Wizards,betmgm,Under,-120,23.5,204001.0
8b80fc750627fcdf4d465cf2bf265acc,player_points,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,betmgm,Over,-105,14.5,203497.0
