id,prop_type,player_name,matchup_home_team,matchup_away_team,sports_book,name,price,points
022bd739ca1a9f1d91f96d7787b9233b,player_points,Dennis Smith Jr.,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-105,9.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Dennis Smith Jr.,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-125,9.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Gordon Hayward,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-115,15.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Gordon Hayward,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-115,15.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Jeremy Sochan,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-115,13.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Jeremy Sochan,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-115,13.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Keldon Johnson,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-115,24.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Keldon Johnson,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-115,24.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,LaMelo Ball,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-120,25.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,LaMelo Ball,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-110,25.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Malaki Branham,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-115,13.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Malaki Branham,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-115,13.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Mark Williams,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-115,12.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Mark Williams,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-115,12.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Nick Richards,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-125,7.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Nick Richards,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-105,7.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,PJ Washington,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-120,15.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,PJ Washington,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-110,15.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Terry Rozier,Charlotte Hornets,San Antonio Spurs,draftkings,Over,100,23.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Terry Rozier,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-130,23.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Zach Collins,Charlotte Hornets,San Antonio Spurs,draftkings,Over,-110,14.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Zach Collins,Charlotte Hornets,San Antonio Spurs,draftkings,Under,-120,14.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Jeremy Sochan,Charlotte Hornets,San Antonio Spurs,betonlineag,Under,-111,13.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Jeremy Sochan,Charlotte Hornets,San Antonio Spurs,betonlineag,Over,-116,13.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Keldon Johnson,Charlotte Hornets,San Antonio Spurs,betonlineag,Under,-116,24.5
022bd739ca1a9f1d91f96d7787b9233b,player_points,Keldon Johnson,Charlotte Hornets,San Antonio Spurs,betonlineag,Over,-111,24.5
