id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,williamhill_us,Over,143,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,williamhill_us,Under,-199,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby,,,williamhill_us,Over,-135,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby,,,williamhill_us,Under,-101,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,williamhill_us,Over,-139,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,williamhill_us,Under,102,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,williamhill_us,Over,-104,2.5,1628398
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,williamhill_us,Under,-131,2.5,1628398
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,betonlineag,Under,107,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Bradley Beal,WAS,TOR,betonlineag,Over,-139,1.5,203078
61b875f53dd51a04e3540f7740dc347d,player_threes,Delon Wright,WAS,TOR,betonlineag,Under,153,0.5,1626153
61b875f53dd51a04e3540f7740dc347d,player_threes,Delon Wright,WAS,TOR,betonlineag,Over,-200,0.5,1626153
61b875f53dd51a04e3540f7740dc347d,player_threes,Fred VanVleet,TOR,WAS,betonlineag,Under,117,2.5,1627832
61b875f53dd51a04e3540f7740dc347d,player_threes,Fred VanVleet,TOR,WAS,betonlineag,Over,-152,2.5,1627832
61b875f53dd51a04e3540f7740dc347d,player_threes,Kristaps Porzingis,WAS,TOR,betonlineag,Under,153,1.5,204001
61b875f53dd51a04e3540f7740dc347d,player_threes,Kristaps Porzingis,WAS,TOR,betonlineag,Over,-200,1.5,204001
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,betonlineag,Under,-132,2.5,1628398
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,betonlineag,Over,102,2.5,1628398
61b875f53dd51a04e3540f7740dc347d,player_threes,Pascal Siakam,TOR,WAS,betonlineag,Under,-196,1.5,1627783
61b875f53dd51a04e3540f7740dc347d,player_threes,Pascal Siakam,TOR,WAS,betonlineag,Over,149,1.5,1627783
61b875f53dd51a04e3540f7740dc347d,player_threes,Scottie Barnes,TOR,WAS,betonlineag,Under,129,0.5,1630567
61b875f53dd51a04e3540f7740dc347d,player_threes,Scottie Barnes,TOR,WAS,betonlineag,Over,-169,0.5,1630567
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby,,,betonlineag,Under,-104,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby,,,betonlineag,Over,-123,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,betonlineag,Under,-189,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,betonlineag,Over,144,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Deni Avdija,WAS,TOR,betonlineag,Under,118,0.5,1630166
61b875f53dd51a04e3540f7740dc347d,player_threes,Deni Avdija,WAS,TOR,betonlineag,Over,-154,0.5,1630166
61b875f53dd51a04e3540f7740dc347d,player_threes,Chris Boucher,TOR,WAS,betonlineag,Under,-106,0.5,1628449
61b875f53dd51a04e3540f7740dc347d,player_threes,Chris Boucher,TOR,WAS,betonlineag,Over,-122,0.5,1628449
61b875f53dd51a04e3540f7740dc347d,player_threes,Corey Kispert,WAS,TOR,betonlineag,Under,-167,1.5,1630557
61b875f53dd51a04e3540f7740dc347d,player_threes,Corey Kispert,WAS,TOR,betonlineag,Over,128,1.5,1630557
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,betonlineag,Under,-192,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,Precious Achiuwa,TOR,WAS,betonlineag,Over,146,0.5,1630173
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,fanduel,Over,138,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Gary Trent Jr.,TOR,WAS,fanduel,Under,-178,2.5,1629018
61b875f53dd51a04e3540f7740dc347d,player_threes,Pascal Siakam,TOR,WAS,fanduel,Over,150,1.5,1627783
61b875f53dd51a04e3540f7740dc347d,player_threes,Pascal Siakam,TOR,WAS,fanduel,Under,-194,1.5,1627783
61b875f53dd51a04e3540f7740dc347d,player_threes,Fred VanVleet,TOR,WAS,fanduel,Over,-142,2.5,1627832
61b875f53dd51a04e3540f7740dc347d,player_threes,Fred VanVleet,TOR,WAS,fanduel,Under,112,2.5,1627832
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby,,,fanduel,Over,-122,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,OG Anunoby,,,fanduel,Under,-104,1.5,
61b875f53dd51a04e3540f7740dc347d,player_threes,Kristaps Porzingis,WAS,TOR,fanduel,Over,-186,1.5,204001
61b875f53dd51a04e3540f7740dc347d,player_threes,Kristaps Porzingis,WAS,TOR,fanduel,Under,146,1.5,204001
61b875f53dd51a04e3540f7740dc347d,player_threes,Kyle Kuzma,WAS,TOR,fanduel,Over,100,2.5,1628398
