id,home_team,away_team,site,over_under,odds
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,betus,219.0,219.0
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,williamhill_us,214.5,214.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,lowvig,217.5,217.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,betonlineag,217.5,217.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,fanduel,213.5,213.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,betmgm,212.5,212.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,circasports,214.5,214.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,mybookieag,216.5,216.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,pointsbetus,215.5,215.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,barstool,214.5,214.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,sugarhouse,214.5,214.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,twinspires,212.5,212.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,unibet_us,214.5,214.5
08927d0cff01447e26db7efb59998ea3,New York Knicks,Brooklyn Nets,foxbet,217.5,217.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,betus,217.5,217.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,fanduel,220.5,220.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,draftkings,220.5,220.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,barstool,221.0,221.0
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,sugarhouse,221.0,221.0
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,twinspires,221.0,221.0
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,unibet_us,221.0,221.0
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,pointsbetus,219.5,219.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,williamhill_us,221.5,221.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,betmgm,219.5,219.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,bovada,221.5,221.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,foxbet,220.5,220.5
b455185a9d69495fe5b287294b2ca09d,Miami Heat,Denver Nuggets,mybookieag,220.5,220.5
